13693,not-protected,1
9891,not-protected,1
11928,not-protected,1
14419,protected,1
3611,protected,1
5442,not-protected,1
6294,not-protected,1
2791,protected,1
3338,not-protected,1
877,not-protected,1
11450,not-protected,1
3774,not-protected,1
7557,not-protected,1
12860,not-protected,1
1998,not-protected,1
2758,not-protected,1
5255,protected,1
1398,protected,1
9752,protected,1
8571,protected,1
2878,protected,1
11566,protected,1
2163,protected,1
7010,not-protected,1
14328,protected,1
2346,not-protected,1
11328,protected,1
6419,protected,1
9242,not-protected,1
13631,protected,1
14381,not-protected,1
13174,protected,1
7139,protected,1
599,protected,1
616,protected,1
8197,not-protected,1
12901,not-protected,1
12629,protected,1
8079,not-protected,1
12937,not-protected,1
2989,protected,1
8781,not-protected,1
13753,not-protected,1
12546,protected,1
8320,protected,1
2213,not-protected,1
13302,not-protected,1
4758,not-protected,1
1299,not-protected,1
13875,protected,1
1219,not-protected,1
12058,protected,1
8255,protected,1
1845,not-protected,1
5446,not-protected,1
6737,not-protected,1
8567,protected,1
14022,protected,1
6655,not-protected,1
6276,protected,1
5790,not-protected,1
5362,not-protected,1
8228,protected,1
9973,protected,1
5807,not-protected,1
12600,not-protected,1
5653,not-protected,1
6649,not-protected,1
14279,protected,1
5014,not-protected,1
667,not-protected,1
8962,not-protected,1
4608,not-protected,1
2761,not-protected,1
10534,not-protected,1
7904,protected,1
9188,not-protected,1
14445,not-protected,1
6549,not-protected,1
13426,not-protected,1
14404,protected,1
4117,protected,1
5093,not-protected,1
3975,not-protected,1
4112,not-protected,1
8806,not-protected,1
7839,not-protected,1
4275,protected,1
8480,not-protected,1
10710,not-protected,1
12299,not-protected,1
13674,not-protected,1
834,protected,1
2018,not-protected,1
728,not-protected,1
2821,not-protected,1
3560,not-protected,1
1684,not-protected,1
6239,protected,1
3749,protected,1
9089,not-protected,1
8349,not-protected,1
8583,not-protected,1
14294,protected,1
10711,not-protected,1
4308,not-protected,1
827,not-protected,1
2505,not-protected,1
1044,not-protected,1
12545,protected,1
2922,protected,1
7052,not-protected,1
5010,protected,1
3641,protected,1
1974,protected,1
13305,protected,1
6699,not-protected,1
13596,not-protected,1
13439,not-protected,1
11408,not-protected,1
2296,not-protected,1
6011,protected,1
9668,not-protected,1
3482,not-protected,1
14443,protected,1
10790,not-protected,1
5492,not-protected,1
14064,protected,1
7647,not-protected,1
11579,protected,1
7494,protected,1
8250,not-protected,1
14051,not-protected,1
988,not-protected,1
8121,not-protected,1
1971,not-protected,1
13723,protected,1
6055,not-protected,1
9278,protected,1
9275,protected,1
11436,not-protected,1
5337,not-protected,1
13809,not-protected,1
1838,not-protected,1
9878,protected,1
840,protected,1
10926,protected,1
1502,protected,1
13432,protected,1
9700,protected,1
7708,protected,1
4820,protected,1
1787,not-protected,1
5872,protected,1
7017,protected,1
8119,not-protected,1
1822,protected,1
4106,not-protected,1
10927,not-protected,1
12912,not-protected,1
2536,not-protected,1
6272,not-protected,1
13112,not-protected,1
6735,not-protected,1
13287,not-protected,1
12013,protected,1
5679,not-protected,1
6205,protected,1
9877,not-protected,1
10449,not-protected,1
5713,not-protected,1
2976,not-protected,1
13529,not-protected,1
7857,protected,1
7703,not-protected,1
3684,protected,1
14392,protected,1
8354,not-protected,1
13242,protected,1
2004,not-protected,1
7678,not-protected,1
11159,not-protected,1
7736,protected,1
2521,not-protected,1
