SimulationNumber,DiscountedProportionalPFairnessEvaluator,RecallEvaluator,StatisticalParityEvaluator,PrecisionEvaluator
0,-2.00044617142248971,0.00002150450135231,0.87850226878338344,0.00012729232165794
1,-inf,0.00004234003795053,0.41413442278457729,0.00011810079658381
2,-2.21221410329995294,0.00004850542473095,0.63669404219434056,0.00031093294767761
